image,label,nodule_id,split,image_type
"[[8.2920063e-03 8.8589909e-03 7.2302097e-03 ... 2.9259967e-04
  3.0495704e-04 3.3469219e-04]
 [1.1770841e-02 7.4911881e-03 4.6344846e-03 ... 2.6331210e-04
  4.8831402e-04 3.1886139e-04]
 [7.2369082e-03 4.1118893e-03 2.6681153e-03 ... 2.2916560e-04
  2.6158706e-04 2.2152196e-04]
 ...
 [6.4369625e-01 6.7936242e-01 5.4683864e-01 ... 7.8239135e-02
  1.3887104e-01 8.7263294e-02]
 [6.4652503e-01 6.3618761e-01 6.4914727e-01 ... 1.5583256e-01
  7.6057419e-02 8.1862047e-02]
 [4.9386936e-01 6.1785561e-01 6.2693977e-01 ... 8.5218571e-02
  1.3877967e-01 1.3746302e-01]]",2.0,1407.0,train,augmented
"[[0.86666667 0.86666667 0.89803922 ... 0.17254902 0.17254902 0.14901961]
 [0.87058824 0.88235295 0.87843138 ... 0.18431373 0.19215687 0.16470589]
 [0.87843138 0.89019608 0.90196079 ... 0.22745098 0.22745098 0.20784314]
 ...
 [0.81568629 0.79607844 0.71764708 ... 0.90196079 0.88235295 0.89803922]
 [0.72156864 0.72549021 0.66274512 ... 0.90588236 0.88627452 0.91764706]
 [0.72549021 0.69411767 0.62352943 ... 0.87843138 0.89411765 0.92941177]]",2.0,66.0,train,original
"[[0.64617604 0.6191923  0.57320201 ... 0.12699857 0.13197708 0.12221299]
 [0.59282076 0.61975688 0.6034776  ... 0.13268851 0.12753563 0.13835663]
 [0.58561236 0.58060616 0.595312   ... 0.11447335 0.14447334 0.13681664]
 ...
 [0.44094843 0.43559226 0.38180143 ... 0.61995131 0.64759481 0.64508647]
 [0.43316475 0.46722624 0.4039759  ... 0.69032216 0.64418399 0.64737022]
 [0.42966551 0.35660616 0.37966657 ... 0.64247972 0.6988976  0.67338204]]",2.0,66.0,train,reconstructed
"[[0.6182832  0.6642853  0.6172157  ... 0.5724823  0.5730755  0.6153522 ]
 [0.6419198  0.68299776 0.64195913 ... 0.5940671  0.54200214 0.5680869 ]
 [0.6587514  0.6360292  0.6019056  ... 0.46004048 0.59287596 0.5142754 ]
 ...
 [0.2251602  0.33116576 0.26044682 ... 0.40213296 0.4867589  0.45839673]
 [0.2753595  0.20372559 0.2720051  ... 0.41160506 0.4672861  0.37250608]
 [0.25909936 0.23762368 0.25681403 ... 0.4586077  0.4733938  0.4550252 ]]",2.0,66.0,train,augmented
"[[9.7479291e-02 5.5350032e-02 4.4383757e-02 ... 2.1026366e-04
  2.9442640e-04 2.0915813e-04]
 [8.4582113e-02 6.8997942e-02 6.2683716e-02 ... 2.6468944e-04
  2.7209157e-04 2.9399301e-04]
 [4.2186018e-02 2.4381690e-02 2.0322170e-02 ... 1.8541004e-04
  1.9984190e-04 1.4828092e-04]
 ...
 [4.8756430e-01 4.7661397e-01 2.9814637e-01 ... 6.1813611e-01
  6.9755507e-01 6.0024333e-01]
 [4.4223854e-01 6.1568832e-01 4.9507383e-01 ... 7.6794267e-01
  5.0560796e-01 4.6549669e-01]
 [3.0296463e-01 4.1122717e-01 2.5475565e-01 ... 6.2155426e-01
  7.0319706e-01 7.3916787e-01]]",2.0,66.0,train,augmented
"[[1.50663644e-01 9.44480896e-02 7.98217878e-02 ... 6.13328943e-04
  8.30265344e-04 5.97040809e-04]
 [1.30545497e-01 1.12715781e-01 1.04130186e-01 ... 7.33057444e-04
  7.50788196e-04 8.26134754e-04]
 [7.53723606e-02 4.76388521e-02 4.21704389e-02 ... 5.44621085e-04
  5.89303439e-04 4.50911379e-04]
 ...
 [4.96507078e-01 4.88708884e-01 3.28164399e-01 ... 6.36949122e-01
  6.96959913e-01 6.26507401e-01]
 [4.54325408e-01 6.21865153e-01 5.09181678e-01 ... 7.72506654e-01
  5.41459978e-01 5.13282180e-01]
 [3.31397921e-01 4.31247056e-01 2.80004442e-01 ... 6.41747355e-01
  7.06737638e-01 7.40941525e-01]]",2.0,66.0,train,augmented
"[[0.03921569 0.03921569 0.03529412 ... 0.70980394 0.69411767 0.66274512]
 [0.03921569 0.03529412 0.03137255 ... 0.70588237 0.68235296 0.69803923]
 [0.03921569 0.03921569 0.04313726 ... 0.69803923 0.68235296 0.71372551]
 ...
 [0.14901961 0.10980392 0.09803922 ... 0.14117648 0.13725491 0.12156863]
 [0.13333334 0.11372549 0.10980392 ... 0.08627451 0.06666667 0.05490196]
 [0.12156863 0.12941177 0.12941177 ... 0.05882353 0.05882353 0.08235294]]",2.0,2666.0,train,original
"[[0.24026361 0.27430946 0.26532355 ... 0.68894351 0.69149357 0.69465911]
 [0.22291066 0.24515747 0.2554329  ... 0.72479177 0.69658566 0.71934849]
 [0.24806759 0.21333386 0.24771988 ... 0.7320503  0.72214282 0.68802053]
 ...
 [0.15448467 0.13466163 0.13802303 ... 0.09919329 0.07659113 0.11374947]
 [0.12903799 0.1483424  0.15641698 ... 0.08525205 0.08433185 0.10803348]
 [0.15532607 0.13442144 0.15031895 ... 0.09605163 0.08528681 0.09371518]]",2.0,2666.0,train,reconstructed
"[[0.23564579 0.2391069  0.32839867 ... 0.95246667 0.9615708  0.95389014]
 [0.2566994  0.32718715 0.33671787 ... 0.9596351  0.95037216 0.9540931 ]
 [0.22395554 0.24549548 0.2814104  ... 0.9224711  0.95511585 0.9334546 ]
 ...
 [0.09033178 0.0969573  0.0870187  ... 0.07750136 0.07085553 0.09558504]
 [0.08007745 0.07297856 0.1516018  ... 0.07077983 0.04257154 0.05757125]
 [0.09411827 0.09888011 0.07033758 ... 0.05658414 0.04477283 0.07222026]]",2.0,2666.0,train,augmented
"[[0.01481501 0.01130225 0.00614283 ... 0.00874051 0.00736221 0.00725522]
 [0.0154858  0.0087653  0.00775903 ... 0.01221959 0.0103002  0.00884386]
 [0.01002144 0.00400675 0.00361427 ... 0.01010395 0.01029846 0.00620277]
 ...
 [0.17777804 0.2299648  0.09729818 ... 0.05545316 0.08136696 0.04140174]
 [0.15905641 0.14026071 0.12023219 ... 0.07716469 0.06341651 0.04124309]
 [0.11270163 0.16373491 0.15007041 ... 0.0589493  0.08176751 0.08035542]]",2.0,2666.0,train,augmented
"[[0.02416709 0.02009625 0.01160863 ... 0.02380624 0.01946504 0.01918712]
 [0.02535844 0.01563196 0.0136479  ... 0.03049053 0.02597238 0.02258609]
 [0.01843144 0.00817833 0.00786464 ... 0.02625573 0.02732485 0.01784175]
 ...
 [0.1833961  0.22578725 0.10457681 ... 0.0598392  0.0809085  0.04722588]
 [0.16219118 0.13814902 0.12074006 ... 0.0795232  0.07011837 0.05119494]
 [0.12249801 0.16744973 0.16413423 ... 0.06334343 0.08328478 0.08113685]]",2.0,2666.0,train,augmented
"[[0.04705882 0.05490196 0.11764706 ... 0.20392157 0.42745098 0.68627453]
 [0.04705882 0.05098039 0.08627451 ... 0.24313726 0.47843137 0.71764708]
 [0.04705882 0.04313726 0.03529412 ... 0.26274511 0.53333336 0.73333335]
 ...
 [0.04313726 0.05490196 0.06666667 ... 0.13725491 0.1254902  0.10980392]
 [0.04313726 0.05882353 0.07450981 ... 0.17254902 0.1254902  0.09803922]
 [0.06666667 0.06666667 0.07058824 ... 0.20392157 0.12941177 0.08235294]]",2.0,2101.0,train,original
"[[0.16683316 0.1662823  0.1627973  ... 0.16897555 0.17420907 0.17881303]
 [0.17926656 0.16795285 0.15874247 ... 0.16975029 0.18279056 0.17312412]
 [0.1727999  0.16764845 0.15408298 ... 0.16389266 0.16029599 0.1739234 ]
 ...
 [0.17957303 0.18353418 0.17768174 ... 0.19534701 0.20848256 0.2218772 ]
 [0.18856148 0.19207056 0.17017969 ... 0.19673853 0.22260499 0.23631506]
 [0.19324385 0.19906019 0.19031507 ... 0.21548496 0.21883591 0.23048121]]",2.0,2101.0,train,reconstructed
"[[0.1961217  0.1910606  0.17913806 ... 0.6989457  0.7621802  0.7633123 ]
 [0.19146118 0.21508709 0.24918483 ... 0.7681939  0.7647444  0.74989134]
 [0.19685419 0.18183586 0.18009062 ... 0.6587289  0.7116735  0.70896894]
 ...
 [0.07146616 0.1065682  0.08808294 ... 0.14790569 0.15936443 0.15505435]
 [0.08013652 0.06460441 0.09632014 ... 0.11193938 0.13558434 0.12158735]
 [0.08067305 0.09078981 0.07105584 ... 0.14716364 0.12291107 0.15071338]]",2.0,2101.0,train,augmented
"[[1.0469783e-02 6.2172576e-03 5.3572678e-03 ... 2.2738719e-04
  2.4839889e-04 2.4213977e-04]
 [1.1378336e-02 7.0092459e-03 5.8264830e-03 ... 2.6342508e-04
  3.2682315e-04 2.4912678e-04]
 [5.4386561e-03 3.2418701e-03 2.0805052e-03 ... 2.3953631e-04
  2.3461359e-04 1.6234817e-04]
 ...
 [2.8650954e-01 2.4329768e-01 1.5375775e-01 ... 1.3262337e-01
  2.0898849e-01 1.6495626e-01]
 [2.3088479e-01 2.7539843e-01 2.5455114e-01 ... 2.0877172e-01
  1.3072011e-01 1.1913442e-01]
 [1.4857666e-01 2.1955328e-01 1.7074835e-01 ... 1.5488814e-01
  2.0878311e-01 2.3758416e-01]]",2.0,2101.0,train,augmented
"[[0.01735894 0.01110435 0.01012587 ... 0.00065551 0.000694   0.0006812 ]
 [0.01868229 0.01216077 0.01027827 ... 0.00072355 0.00088038 0.00068294]
 [0.0099784  0.00661348 0.00441896 ... 0.00068032 0.00066253 0.00048661]
 ...
 [0.2864714  0.2475678  0.16799095 ... 0.1477544  0.21440633 0.18255489]
 [0.23871301 0.2745086  0.25926653 ... 0.21379252 0.14984341 0.14080308]
 [0.16411561 0.22918351 0.18536879 ... 0.16928121 0.21943659 0.24341968]]",2.0,2101.0,train,augmented
"[[0.09019608 0.10196079 0.12156863 ... 0.05882353 0.10196079 0.24705882]
 [0.07450981 0.09803922 0.12156863 ... 0.11764706 0.12941177 0.21176471]
 [0.10196079 0.09019608 0.13725491 ... 0.12156863 0.09803922 0.10588235]
 ...
 [0.4509804  0.4627451  0.47058824 ... 0.49411765 0.50196081 0.49019608]
 [0.43137255 0.43921569 0.44313726 ... 0.49019608 0.49803922 0.51372552]
 [0.44705883 0.4509804  0.42352942 ... 0.43529412 0.41568628 0.44313726]]",2.0,67.0,train,original
"[[0.1551062  0.13418205 0.12090807 ... 0.15254924 0.14583923 0.1402394 ]
 [0.1581611  0.1307115  0.12891413 ... 0.13985319 0.13856629 0.14412211]
 [0.14282785 0.13515481 0.11053737 ... 0.15758929 0.14323765 0.14045642]
 ...
 [0.33931214 0.34429005 0.3415269  ... 0.44156319 0.42713946 0.45363253]
 [0.3112888  0.35142255 0.35511822 ... 0.41048768 0.44413054 0.42718631]
 [0.32102811 0.360383   0.34957588 ... 0.46974203 0.44689116 0.43971893]]",2.0,67.0,train,reconstructed
"[[0.21490395 0.20331895 0.23086523 ... 0.66173196 0.727787   0.74640834]
 [0.20729089 0.23870382 0.24966368 ... 0.69970566 0.7247104  0.72214025]
 [0.21019082 0.2202022  0.2005285  ... 0.629718   0.686051   0.6794077 ]
 ...
 [0.15286133 0.1959081  0.16655867 ... 0.3223759  0.3431578  0.3173286 ]
 [0.17614545 0.15130663 0.18118666 ... 0.30910355 0.3167259  0.30686396]
 [0.15728158 0.20024492 0.16456987 ... 0.29645166 0.29936147 0.30726162]]",2.0,67.0,train,augmented
"[[8.3600227e-03 4.4848979e-03 2.5989769e-03 ... 1.6156120e-04
  1.8099374e-04 1.6097410e-04]
 [9.6416762e-03 4.8357486e-03 4.8519415e-03 ... 2.1716060e-04
  2.3183227e-04 1.8701672e-04]
 [3.8389133e-03 1.8454802e-03 1.2256625e-03 ... 1.8509403e-04
  1.6367494e-04 1.0283574e-04]
 ...
 [3.4799156e-01 3.3126381e-01 2.1427515e-01 ... 2.8640956e-01
  3.8931602e-01 2.7177516e-01]
 [2.9957533e-01 3.7141433e-01 3.4726235e-01 ... 3.5889781e-01
  2.2560623e-01 1.6673282e-01]
 [1.8442985e-01 2.6953328e-01 2.2661129e-01 ... 3.3080879e-01
  3.8135520e-01 3.9224273e-01]]",2.0,67.0,train,augmented
"[[1.36989970e-02 7.86905643e-03 4.81167482e-03 ... 4.69073508e-04
  5.09592297e-04 4.58373863e-04]
 [1.54682435e-02 8.45565554e-03 8.21064040e-03 ... 5.89087198e-04
  6.20284816e-04 5.15474239e-04]
 [6.96803723e-03 3.73699260e-03 2.54608085e-03 ... 5.28128410e-04
  4.67712642e-04 3.09254829e-04]
 ...
 [3.53682101e-01 3.39729667e-01 2.37539858e-01 ... 3.13082099e-01
  3.98562759e-01 3.01066250e-01]
 [3.09253365e-01 3.73330623e-01 3.59436303e-01 ... 3.69770974e-01
  2.54766047e-01 1.97985187e-01]
 [2.04952627e-01 2.85648972e-01 2.49720261e-01 ... 3.52247655e-01
  3.94101977e-01 4.02893931e-01]]",2.0,67.0,train,augmented
"[[0.06666667 0.06666667 0.07450981 ... 0.03529412 0.03137255 0.02352941]
 [0.07450981 0.06666667 0.07450981 ... 0.05490196 0.04705882 0.03529412]
 [0.1254902  0.09803922 0.06666667 ... 0.07843138 0.05882353 0.03921569]
 ...
 [0.43529412 0.42745098 0.43921569 ... 0.05882353 0.05098039 0.05490196]
 [0.43529412 0.43529412 0.43529412 ... 0.06666667 0.07450981 0.05882353]
 [0.41568628 0.43137255 0.44313726 ... 0.06666667 0.07450981 0.0627451 ]]",1.0,1196.0,train,original
"[[0.12517734 0.12364346 0.11527211 ... 0.11315721 0.12260066 0.11994351]
 [0.1235277  0.11534188 0.11200526 ... 0.11724747 0.11795603 0.12172408]
 [0.11975826 0.11199043 0.11345227 ... 0.10419459 0.11627205 0.12568097]
 ...
 [0.22412305 0.21445857 0.19905469 ... 0.14248057 0.15072526 0.16407733]
 [0.22287376 0.21665384 0.21437588 ... 0.13933933 0.15291238 0.14769766]
 [0.21407451 0.21475573 0.22312032 ... 0.14862832 0.16371639 0.16164993]]",1.0,1196.0,train,reconstructed
"[[0.17879967 0.14486398 0.13443263 ... 0.67788684 0.75927734 0.7566871 ]
 [0.15560406 0.20079353 0.23122393 ... 0.74096614 0.71751523 0.7273412 ]
 [0.15287016 0.1425685  0.13077371 ... 0.64173746 0.68594974 0.70649236]
 ...
 [0.10894457 0.12767151 0.11600052 ... 0.11605845 0.12229803 0.12499315]
 [0.10289221 0.0906084  0.13531241 ... 0.09183905 0.10238615 0.0897816 ]
 [0.10348973 0.11332826 0.09043067 ... 0.11432143 0.08966862 0.1332548 ]]",1.0,1196.0,train,augmented
"[[4.9302150e-03 4.0642619e-03 3.1852922e-03 ... 1.3502006e-04
  1.4733957e-04 1.4012224e-04]
 [6.3882275e-03 3.3799517e-03 2.9654838e-03 ... 1.4742193e-04
  2.0810978e-04 1.5623913e-04]
 [3.5008490e-03 2.0332653e-03 1.3432014e-03 ... 1.2886267e-04
  1.2537625e-04 9.7013130e-05]
 ...
 [2.8066784e-01 2.6954827e-01 1.8072808e-01 ... 1.1284313e-01
  1.9185226e-01 1.2841471e-01]
 [2.4325040e-01 2.8921738e-01 2.5389716e-01 ... 1.8759243e-01
  1.0448728e-01 1.0015657e-01]
 [1.4599569e-01 2.4716896e-01 1.9561793e-01 ... 1.3587457e-01
  1.7208216e-01 1.9200315e-01]]",1.0,1196.0,train,augmented
